timestamp;bar_time;run_id;profile;symbol;timeframe;open;high;low;close;atr_fast;atr_slow;adx14;ma_fast;ma_slow;ma_long;ma_slope;bb_width;donchian_width;fibo_ratio;spread;session;weekday;volatility;notes
2025.04.16 00:15:00;2025.04.16 00:00:00;USDJPY_20250101000000;20250101-20251130;USDJPY;M15;143.071;143.246;143.071;143.176;0.091357;0.152600;31.726458;143.164429;143.009800;143.131480;0.490000;0.000000;0.239000;0.602510;0.5000;ASIA;3;NORMAL;
2025.04.16 00:30:00;2025.04.16 00:15:00;USDJPY_20250101000000;20250101-20251130;USDJPY;M15;143.176;143.194;143.154;143.177;0.086357;0.149560;29.694408;143.169214;143.015340;143.129235;0.502857;0.000000;0.239000;0.606695;0.5000;ASIA;3;NORMAL;
2025.04.16 00:45:00;2025.04.16 00:30:00;USDJPY_20250101000000;20250101-20251130;USDJPY;M15;143.177;143.210;143.170;143.209;0.084143;0.146260;30.403572;143.171429;143.024560;143.127235;0.417143;0.000000;0.239000;0.740586;0.5000;ASIA;3;NORMAL;
2025.04.16 01:00:00;2025.04.16 00:45:00;USDJPY_20250101000000;20250101-20251130;USDJPY;M15;143.209;143.222;143.149;143.174;0.081643;0.144880;28.219446;143.174214;143.033020;143.125165;0.381429;0.000000;0.239000;0.594142;0.5000;ASIA;3;NORMAL;
2025.04.16 01:15:00;2025.04.16 01:00:00;USDJPY_20250101000000;20250101-20251130;USDJPY;M15;143.174;143.174;142.909;142.962;0.095786;0.147700;28.074307;143.159929;143.036140;143.122415;0.030000;0.000000;0.362000;0.146409;0.5000;ASIA;3;NORMAL;
2025.04.16 01:30:00;2025.04.16 01:15:00;USDJPY_20250101000000;20250101-20251130;USDJPY;M15;142.959;143.106;142.928;143.053;0.101571;0.148220;27.948519;143.152929;143.038760;143.120040;-0.230000;0.000000;0.362000;0.397790;0.5000;ASIA;3;NORMAL;
2025.04.16 01:45:00;2025.04.16 01:30:00;USDJPY_20250101000000;20250101-20251130;USDJPY;M15;143.052;143.089;142.949;142.989;0.105500;0.148980;27.839504;143.141643;143.040120;143.117070;-0.551429;0.000000;0.362000;0.220994;0.5000;ASIA;3;NORMAL;
2025.04.16 02:00:00;2025.04.16 01:45:00;USDJPY_20250101000000;20250101-20251130;USDJPY;M15;142.988;143.083;142.969;143.049;0.109714;0.148740;27.745023;143.132286;143.043960;143.115100;-0.782857;0.000000;0.362000;0.386740;0.5000;ASIA;3;NORMAL;
2025.04.16 02:15:00;2025.04.16 02:00:00;USDJPY_20250101000000;20250101-20251130;USDJPY;M15;143.049;143.235;143.037;143.157;0.119643;0.150060;26.388262;143.131500;143.048940;143.111695;-0.854286;0.000000;0.362000;0.685083;0.5000;ASIA;3;NORMAL;
2025.04.16 02:30:00;2025.04.16 02:15:00;USDJPY_20250101000000;20250101-20251130;USDJPY;M15;143.158;143.274;143.121;143.159;0.126571;0.150900;26.517202;143.129929;143.055420;143.108250;-0.600000;0.000000;0.365000;0.684932;0.5000;ASIA;3;NORMAL;
2025.04.16 02:45:00;2025.04.16 02:30:00;USDJPY_20250101000000;20250101-20251130;USDJPY;M15;143.175;143.175;143.066;143.101;0.128714;0.148720;23.006667;143.123000;143.058740;143.104635;-0.598571;0.000000;0.365000;0.526027;0.5000;ASIA;3;NORMAL;
2025.04.16 03:00:00;2025.04.16 02:45:00;USDJPY_20250101000000;20250101-20251130;USDJPY;M15;143.102;143.203;143.058;143.151;0.132643;0.147420;21.109860;143.121429;143.059700;143.101890;-0.404286;0.000000;0.365000;0.663014;0.5000;ASIA;3;NORMAL;
2025.04.16 03:15:00;2025.04.16 03:00:00;USDJPY_20250101000000;20250101-20251130;USDJPY;M15;143.151;143.164;142.844;142.864;0.149643;0.151200;20.836797;143.096357;143.054940;143.096230;-0.718571;0.000000;0.430000;0.046512;0.5000;ASIA;3;NORMAL;
2025.04.16 03:30:00;2025.04.16 03:15:00;USDJPY_20250101000000;20250101-20251130;USDJPY;M15;142.857;142.933;142.823;142.872;0.147143;0.149060;21.439229;143.078071;143.054580;143.092490;-1.068571;0.000000;0.451000;0.108647;0.5000;ASIA;3;NORMAL;
2025.04.16 03:45:00;2025.04.16 03:30:00;USDJPY_20250101000000;20250101-20251130;USDJPY;M15;142.872;142.872;142.758;142.802;0.142786;0.149240;24.064553;143.051357;143.053620;143.088330;-1.571429;0.000000;0.516000;0.085271;0.5000;ASIA;3;NORMAL;
2025.04.16 04:00:00;2025.04.16 03:45:00;USDJPY_20250101000000;20250101-20251130;USDJPY;M15;142.801;142.916;142.773;142.882;0.150143;0.146740;24.151721;143.030286;143.058220;143.084480;-1.854286;0.000000;0.516000;0.240310;0.5000;ASIA;3;HIGH;
2025.04.16 04:15:00;2025.04.16 04:00:00;USDJPY_20250101000000;20250101-20251130;USDJPY;M15;142.881;142.936;142.829;142.910;0.154929;0.145120;22.974035;143.008929;143.061540;143.080855;-2.250000;0.000000;0.516000;0.294574;0.5000;ASIA;3;HIGH;
2025.04.16 04:30:00;2025.04.16 04:15:00;USDJPY_20250101000000;20250101-20251130;USDJPY;M15;142.910;142.980;142.815;142.888;0.161500;0.142940;20.256369;142.988500;143.062060;143.076215;-2.157143;0.000000;0.516000;0.251938;0.5000;ASIA;3;HIGH;
2025.04.16 04:45:00;2025.04.16 04:30:00;USDJPY_20250101000000;20250101-20251130;USDJPY;M15;142.887;142.984;142.696;142.772;0.163143;0.145920;20.041489;142.974929;143.060940;143.071310;-2.062857;0.000000;0.578000;0.131488;0.5000;ASIA;3;HIGH;
2025.04.16 05:00:00;2025.04.16 04:45:00;USDJPY_20250101000000;20250101-20251130;USDJPY;M15;142.773;142.832;142.725;142.807;0.158071;0.144180;19.855259;142.957357;143.057520;143.066910;-1.880000;0.000000;0.578000;0.192042;0.5000;ASIA;3;HIGH;
2025.04.16 05:15:00;2025.04.16 05:00:00;USDJPY_20250101000000;20250101-20251130;USDJPY;M15;142.804;142.811;142.671;142.705;0.158071;0.143280;21.537919;142.937071;143.051700;143.063205;-1.864286;0.000000;0.603000;0.056385;0.5000;ASIA;3;HIGH;
2025.04.16 05:30:00;2025.04.16 05:15:00;USDJPY_20250101000000;20250101-20251130;USDJPY;M15;142.705;142.717;142.647;142.688;0.154929;0.140720;24.332964;142.911286;143.044700;143.060165;-1.952857;0.000000;0.627000;0.065391;0.5000;ASIA;3;HIGH;
2025.04.16 05:45:00;2025.04.16 05:30:00;USDJPY_20250101000000;20250101-20251130;USDJPY;M15;142.687;142.769;142.659;142.761;0.148643;0.136920;23.124928;142.883000;143.036180;143.057455;-2.110000;0.000000;0.627000;0.181818;0.5000;ASIA;3;NORMAL;
2025.04.16 06:00:00;2025.04.16 05:45:00;USDJPY_20250101000000;20250101-20251130;USDJPY;M15;142.760;142.809;142.702;142.710;0.145357;0.131000;20.287068;142.850929;143.033020;143.056505;-2.480000;0.000000;0.627000;0.100478;0.5000;ASIA;3;NORMAL;
2025.04.16 06:15:00;2025.04.16 06:00:00;USDJPY_20250101000000;20250101-20251130;USDJPY;M15;142.710;142.726;142.642;142.659;0.143571;0.127920;20.685152;142.819357;143.027640;143.056240;-2.760000;0.000000;0.632000;0.026899;0.5000;EUROPE;3;NORMAL;
2025.04.16 06:30:00;2025.04.16 06:15:00;USDJPY_20250101000000;20250101-20251130;USDJPY;M15;142.659;142.714;142.646;142.670;0.138071;0.123900;21.030159;142.785000;143.026700;143.057430;-3.041429;0.000000;0.632000;0.044304;0.5000;EUROPE;3;NORMAL;
